595 148868
0 17 4
0 18 5
0 19 9
0 20 6
0 21 5
0 22 5
0 23 6
0 24 10
0 25 3
0 26 7
0 27 6
0 28 4
0 29 4
0 30 7
0 31 5
0 32 3
0 33 8
0 35 5
0 38 9
0 43 3
0 45 6
0 48 3
0 49 7
0 51 5
0 52 7
0 53 7
0 54 6
0 55 3
0 56 7
0 57 8
0 58 7
0 59 9
0 60 5
0 61 5
0 62 5
0 63 6
0 64 6
0 65 2
0 66 4
0 67 9
0 68 8
0 69 10
0 73 2
0 75 10
0 78 6
0 79 9
0 80 5
0 81 9
0 82 2
0 83 5
0 84 2
0 85 2
0 87 3
0 88 6
0 93 7
0 95 5
0 96 6
0 97 10
0 98 3
0 99 4
0 100 2
0 102 6
0 103 7
0 104 7
0 105 7
0 106 8
0 107 8
0 108 3
0 109 8
0 110 4
0 111 2
0 112 2
0 113 4
0 114 9
0 115 8
0 116 5
0 117 8
0 118 9
0 119 5
0 120 7
0 121 10
0 122 6
0 123 8
0 124 10
0 125 4
0 126 7
0 127 9
0 128 10
0 129 10
0 130 9
0 131 2
0 132 10
0 133 3
0 134 2
0 135 10
0 136 7
0 137 7
0 138 7
0 139 6
0 140 3
0 141 7
0 142 5
0 143 6
0 144 2
0 145 10
0 146 9
0 147 5
0 148 2
0 149 2
0 150 5
0 151 10
0 152 5
0 153 10
0 154 9
0 155 7
0 156 10
0 157 10
0 158 9
0 159 9
0 160 5
0 161 7
0 162 9
0 163 3
0 164 4
0 165 6
0 166 8
0 167 2
0 168 5
0 169 2
0 173 5
0 174 9
0 176 7
0 177 9
0 178 4
0 179 8
0 180 8
0 181 10
0 182 7
0 183 5
0 185 4
0 186 2
0 187 4
0 188 8
0 189 10
0 190 6
0 191 10
0 192 4
0 193 8
0 194 4
0 195 6
0 196 10
0 197 2
0 198 8
0 199 3
0 200 3
0 201 2
0 202 4
0 203 9
0 204 7
0 205 2
0 206 5
0 207 4
0 208 7
0 209 2
0 210 8
0 211 3
0 212 10
0 213 5
0 214 9
0 215 6
0 216 7
0 217 3
0 218 9
0 219 3
0 220 6
0 221 4
0 222 3
0 223 4
0 224 3
0 225 8
0 226 8
0 227 2
0 228 8
0 229 10
0 231 7
0 232 3
0 233 6
0 235 3
0 236 6
0 237 2
0 238 5
0 239 9
0 240 7
0 241 3
0 242 4
0 243 2
0 244 4
0 245 9
0 246 9
0 247 10
0 248 7
0 249 5
0 250 6
0 251 2
0 252 2
0 253 10
0 254 2
0 255 6
0 256 5
0 257 4
0 258 5
0 259 10
0 260 8
0 261 8
0 262 6
0 263 7
0 264 4
0 265 9
0 266 8
0 267 5
0 268 10
0 269 3
0 270 2
0 271 9
0 272 6
0 273 8
0 274 6
0 275 5
0 276 4
0 277 7
0 278 10
0 279 8
0 280 6
0 281 6
0 282 5
0 283 6
0 284 6
0 285 10
0 286 8
0 287 2
0 288 2
0 289 4
0 291 6
0 292 6
0 293 9
0 294 7
0 295 8
0 296 6
0 297 2
0 298 2
0 299 2
0 301 7
0 302 8
0 304 3
0 305 4
0 306 7
0 307 8
0 308 6
0 309 9
0 310 7
0 311 4
0 312 2
0 313 7
0 314 6
0 315 5
0 316 10
0 317 3
0 319 2
0 320 3
0 321 5
0 322 8
0 323 3
0 324 5
0 325 7
0 326 7
0 327 7
0 328 10
0 329 5
0 330 2
0 331 5
0 332 3
0 333 8
0 334 4
0 335 4
0 336 2
0 337 8
0 338 4
0 339 4
0 340 2
0 341 8
0 344 3
0 345 7
0 346 6
0 347 3
0 348 9
0 349 5
0 350 10
0 352 8
0 354 3
0 355 2
0 357 4
0 358 5
0 359 6
0 360 6
0 361 3
0 362 9
0 363 9
0 364 4
0 365 5
0 366 10
0 367 5
0 368 7
0 369 7
0 370 5
0 371 6
0 372 7
0 373 2
0 375 10
0 376 10
0 378 3
0 381 4
0 383 9
0 384 8
0 385 2
0 386 10
0 387 9
0 388 3
0 389 10
0 391 7
0 393 3
0 395 6
0 396 4
0 397 3
0 398 9
0 400 5
0 401 7
0 403 8
0 404 3
0 407 4
0 408 2
0 409 5
0 411 2
0 412 3
0 413 4
0 415 10
0 417 9
0 419 9
0 420 3
0 421 6
0 422 4
0 423 8
0 424 6
0 427 9
0 428 9
0 429 9
0 430 7
0 431 9
0 432 10
0 433 6
0 434 6
0 436 5
0 437 5
0 438 5
0 439 2
0 440 5
0 442 5
0 443 8
0 444 3
0 445 9
0 446 3
0 447 9
0 450 4
0 451 7
0 452 6
0 453 8
0 454 6
0 455 6
0 456 5
0 463 6
0 467 6
0 469 2
0 470 6
0 471 3
0 472 4
0 473 7
0 474 10
0 475 2
0 476 7
0 477 2
0 478 8
0 479 4
0 480 8
0 481 5
0 482 5
0 483 3
0 484 3
0 485 6
0 486 5
0 487 6
0 488 4
0 489 7
0 490 10
0 491 2
0 492 9
0 494 5
0 495 9
0 496 3
0 497 6
0 499 10
0 504 5
0 506 2
0 508 6
0 509 7
0 511 2
0 513 4
0 514 9
0 515 7
0 516 4
0 517 7
0 518 6
0 519 3
0 520 6
0 521 6
0 522 8
0 524 10
0 525 4
0 526 7
0 527 7
0 532 9
0 533 3
0 534 7
0 537 6
0 538 9
0 543 3
0 544 9
0 545 2
0 546 5
0 547 4
0 548 3
0 549 7
0 550 2
0 551 6
0 552 7
0 553 5
0 554 9
0 555 5
0 556 2
0 557 5
0 558 4
0 559 4
0 560 5
0 561 9
0 562 7
0 563 10
0 564 6
0 565 3
0 566 5
0 567 5
0 568 9
0 569 6
0 570 2
0 571 9
0 572 4
0 573 2
0 574 6
0 575 6
0 576 10
0 577 8
0 578 3
0 579 9
0 580 7
0 581 8
0 582 9
0 583 2
0 584 3
0 585 3
0 586 5
0 587 7
0 588 6
0 589 3
0 590 10
0 591 4
0 592 2
0 593 7
0 594 8
1 17 8
1 18 10
1 19 10
1 20 9
1 21 8
1 22 5
1 23 10
1 24 3
1 25 3
1 26 4
1 27 5
1 28 2
1 29 8
1 30 4
1 31 4
1 32 7
1 33 9
1 34 9
1 35 5
1 39 5
1 40 6
1 41 7
1 46 6
1 48 6
1 50 9
1 51 8
1 52 7
1 53 3
1 54 6
1 55 2
1 56 4
1 57 10
1 58 5
1 59 5
1 60 8
1 61 4
1 62 2
1 63 4
1 64 3
1 65 8
1 66 5
1 67 2
1 68 4
1 70 9
1 71 10
1 72 3
1 74 6
1 77 6
1 78 2
1 81 2
1 82 7
1 85 7
1 86 4
1 87 9
1 89 7
1 90 5
1 94 8
1 95 8
1 96 9
1 97 7
1 102 6
1 103 4
1 104 4
1 105 5
1 106 4
1 107 10
1 108 8
1 109 4
1 110 10
1 111 6
1 112 3
1 113 9
1 114 10
1 115 9
1 116 7
1 117 9
1 118 8
1 119 7
1 120 8
1 121 5
1 122 7
1 123 4
1 124 9
1 125 10
1 126 8
1 127 7
1 128 3
1 129 3
1 130 3
1 131 6
1 132 8
1 133 4
1 134 7
1 135 7
1 136 2
1 137 5
1 138 9
1 139 2
1 140 8
1 141 2
1 142 10
1 143 4
1 144 10
1 145 10
1 146 7
1 147 10
1 148 8
1 149 5
1 150 6
1 151 7
1 152 9
1 153 10
1 154 8
1 155 7
1 156 3
1 157 8
1 158 5
1 159 4
1 160 3
1 161 6
1 162 8
1 163 3
1 164 9
1 165 3
1 166 2
1 167 5
1 168 4
1 169 10
1 172 9
1 173 10
1 174 3
1 175 5
1 177 6
1 179 2
1 181 10
1 183 4
1 184 3
1 185 9
1 186 5
1 187 5
1 188 10
1 189 9
1 190 2
1 191 8
1 192 5
1 193 10
1 194 5
1 195 8
1 196 3
1 197 10
1 198 6
1 199 2
1 200 6
1 201 3
1 202 7
1 203 10
1 204 9
1 205 2
1 206 10
1 207 2
1 208 2
1 209 3
1 210 9
1 211 8
1 212 3
1 213 2
1 214 5
1 215 2
1 216 10
1 217 5
1 218 5
1 219 3
1 220 3
1 221 4
1 222 4
1 223 3
1 224 4
1 225 5
1 226 4
1 227 7
1 228 10
1 230 3
1 231 3
1 232 8
1 233 6
1 234 2
1 236 2
1 237 2
1 238 5
1 239 9
1 240 5
1 241 3
1 242 7
1 243 7
1 244 2
1 245 2
1 246 2
1 247 4
1 248 5
1 249 5
1 250 3
1 251 8
1 252 6
1 253 10
1 254 3
1 255 4
1 256 7
1 257 5
1 258 6
1 259 7
1 260 7
1 261 3
1 262 8
1 263 2
1 264 3
1 265 10
1 266 10
1 267 10
1 268 3
1 269 9
1 270 8
1 271 2
1 272 3
1 273 8
1 274 6
1 275 6
1 276 6
1 277 9
1 278 8
1 279 10
1 280 3
1 281 7
1 282 7
1 283 5
1 284 9
1 285 3
1 286 8
1 287 3
1 288 7
1 289 7
1 290 9
1 293 2
1 294 3
1 295 4
1 297 5
1 298 7
1 299 8
1 301 8
1 303 7
1 304 7
1 305 8
1 306 10
1 307 5
1 308 3
1 309 5
1 310 4
1 311 2
1 313 3
1 314 3
1 316 4
1 317 8
1 318 5
1 319 5
1 320 4
1 321 6
1 322 10
1 323 8
1 324 8
1 325 7
1 326 7
1 327 9
1 328 4
1 329 4
1 330 9
1 331 5
1 332 2
1 333 6
1 334 5
1 335 5
1 336 6
1 337 10
1 338 8
1 339 7
1 340 7
1 341 2
1 342 5
1 344 7
1 345 7
1 346 4
1 347 9
1 348 3
1 350 3
1 351 6
1 353 2
1 354 4
1 356 9
1 357 7
1 358 5
1 359 10
1 360 10
1 361 2
1 362 9
1 363 5
1 364 7
1 365 5
1 366 2
1 367 4
1 368 8
1 369 10
1 370 4
1 371 3
1 372 6
1 373 3
1 374 8
1 375 10
1 376 2
1 377 5
1 378 8
1 379 7
1 380 8
1 381 8
1 382 4
1 383 7
1 384 5
1 385 5
1 386 10
1 388 2
1 389 10
1 390 8
1 391 7
1 392 7
1 393 9
1 394 8
1 395 10
1 397 10
1 398 7
1 400 8
1 401 6
1 402 3
1 403 6
1 404 9
1 405 4
1 406 4
1 408 5
1 409 4
1 410 2
1 411 5
1 413 8
1 414 6
1 416 7
1 417 6
1 418 5
1 420 7
1 422 8
1 423 9
1 424 10
1 425 10
1 426 5
1 427 8
1 428 3
1 429 9
1 430 7
1 431 9
1 432 2
1 433 9
1 434 6
1 435 8
1 436 3
1 437 2
1 438 6
1 440 5
1 441 4
1 444 5
1 445 9
1 446 2
1 447 3
1 448 8
1 449 9
1 450 2
1 451 2
1 452 8
1 453 7
1 454 8
1 455 6
1 456 9
1 457 5
1 458 4
1 459 9
1 461 8
1 462 7
1 463 3
1 465 2
1 466 6
1 467 9
1 468 6
1 469 3
1 471 3
1 473 2
1 475 6
1 476 6
1 477 3
1 478 5
1 479 2
1 480 9
1 481 5
1 482 4
1 483 3
1 484 10
1 485 7
1 486 10
1 487 4
1 488 10
1 489 6
1 490 10
1 491 5
1 492 5
1 493 7
1 494 4
1 495 3
1 496 4
1 498 3
1 500 9
1 502 7
1 507 7
1 508 7
1 509 8
1 512 9
1 514 2
1 516 7
1 517 4
1 518 7
1 519 4
1 520 5
1 521 10
1 522 8
1 523 7
1 524 9
1 525 10
1 527 3
1 529 10
1 531 4
1 532 9
1 533 6
1 534 3
1 536 8
1 537 5
1 539 3
1 540 8
1 541 7
1 542 10
1 543 8
1 544 2
1 545 6
1 546 2
1 547 7
1 548 7
1 549 7
1 550 8
1 551 10
1 552 9
1 553 10
1 554 8
1 555 6
1 556 9
1 557 10
1 558 2
1 559 4
1 560 2
1 561 9
1 562 3
1 563 10
1 564 10
1 565 7
1 566 3
1 567 5
1 568 4
1 569 10
1 570 4
1 571 9
1 572 4
1 573 5
1 574 2
1 575 8
1 576 7
1 577 8
1 578 10
1 579 4
1 580 10
1 581 9
1 582 5
1 583 4
1 584 4
1 585 4
1 586 6
1 587 9
1 588 9
1 589 10
1 590 9
1 591 2
1 592 2
1 593 7
1 594 8
2 17 5
2 18 10
2 19 6
2 20 8
2 21 8
2 22 7
2 23 10
2 24 9
2 25 3
2 26 10
2 27 4
2 28 2
2 29 9
2 30 6
2 31 9
2 32 4
2 33 4
2 35 5
2 37 2
2 38 10
2 39 9
2 40 8
2 50 2
2 51 2
2 52 5
2 53 9
2 54 9
2 55 5
2 56 7
2 57 9
2 58 8
2 59 3
2 60 6
2 61 3
2 62 8
2 63 10
2 64 9
2 65 5
2 66 8
2 67 7
2 68 3
2 70 2
2 71 8
2 72 6
2 73 3
2 74 9
2 75 3
2 76 2
2 79 5
2 82 6
2 84 10
2 85 9
2 87 3
2 89 2
2 90 9
2 91 3
2 92 9
2 94 4
2 97 6
2 98 5
2 100 10
2 102 9
2 103 3
2 104 4
2 105 10
2 106 6
2 107 9
2 108 3
2 109 8
2 110 4
2 111 2
2 112 5
2 113 10
2 114 4
2 115 5
2 116 2
2 117 6
2 118 2
2 119 10
2 120 6
2 121 5
2 122 2
2 123 2
2 124 2
2 125 4
2 126 8
2 127 8
2 128 6
2 129 7
2 130 3
2 131 6
2 132 8
2 133 6
2 134 7
2 135 7
2 136 10
2 137 10
2 138 2
2 139 7
2 140 2
2 141 4
2 142 6
2 143 9
2 144 6
2 145 2
2 146 7
2 147 8
2 148 6
2 149 6
2 150 10
2 151 10
2 152 6
2 153 5
2 154 5
2 155 3
2 156 4
2 157 10
2 158 5
