40164 85123
0 4488 4
0 5914 10
0 22079 4
1 8439 9
1 23034 10
1 25331 6
1 31019 8
1 35972 6
1 39619 10
2 22639 10
3 15242 10
4 11877 4
4 13747 7
4 39464 8
5 1588 5
5 2592 5
5 5455 9
5 6183 9
5 7471 4
5 10287 4
5 12836 2
5 14034 10
5 14619 6
5 16171 3
5 16803 7
5 21793 7
5 25021 8
5 26855 3
5 27760 8
5 30349 7
5 32045 6
5 36124 3
5 38719 2
5 38892 9
5 39859 3
6 28944 3
6 30524 10
7 24538 2
8 31498 3
8 38332 7
9 33144 7
9 33717 7
10 32614 4
11 21679 9
12 7770 7
13 21852 4
14 22061 2
14 32509 10
14 37590 3
15 20467 6
15 22639 5
16 34930 2
17 33091 5
18 48 9
18 409 10
18 476 2
18 693 6
18 786 9
18 929 2
18 1090 4
18 1602 9
18 1756 10
18 1921 10
18 1935 6
18 2063 9
18 2266 10
18 2283 7
18 2862 2
18 3275 3
18 3391 9
18 3579 7
18 3650 8
18 3798 6
18 3976 5
18 4003 10
18 4075 7
18 4102 6
18 4599 6
18 4907 3
18 5277 3
18 5448 5
18 5499 4
18 5612 5
18 5744 5
18 5850 5
18 5950 6
18 6366 6
18 6655 3
18 7121 6
18 7125 7
18 7425 2
18 7588 7
18 7921 7
18 8153 8
18 8253 10
18 8308 3
18 8350 2
18 8439 7
18 8697 4
18 8698 5
18 8875 3
18 8952 9
18 9028 3
18 9062 6
18 9197 4
18 9268 5
18 9318 4
18 9356 9
18 9747 8
18 9772 4
18 9989 5
18 10058 4
18 10109 10
18 10304 6
18 10323 3
18 10329 4
18 10598 2
18 10680 6
18 10800 9
18 11094 7
18 11500 6
18 11662 3
18 12034 7
18 12131 2
18 12180 8
18 12208 3
18 12229 6
18 12301 2
18 12635 4
18 12834 7
18 13072 8
18 13097 6
18 13107 9
18 13337 5
18 13407 4
18 14026 5
18 14115 4
18 14226 8
18 14418 8
18 14444 10
18 14609 3
18 14865 3
18 14893 9
18 14936 7
18 14969 4
18 15227 2
18 15466 10
18 15674 4
18 15844 4
18 15894 6
18 16004 6
18 16178 9
