7476 56943
0 33 9
0 5111 3
1 21 4
1 112 2
1 604 9
1 5229 7
2 36 10
2 359 8
2 364 8
2 385 9
2 386 2
2 424 3
2 455 7
2 472 6
2 491 8
2 498 2
2 659 9
2 707 10
2 721 9
2 750 2
2 844 3
2 923 6
2 944 8
2 1003 2
2 1086 5
2 1319 7
2 1404 8
2 1438 9
2 1467 5
2 1640 6
2 1744 9
2 1843 3
2 1989 6
2 2054 3
2 2262 8
2 2400 7
2 2453 5
2 2479 9
2 2522 6
2 2644 10
2 2996 6
2 3127 7
2 3180 8
2 3681 7
2 3760 7
2 3819 2
2 3929 3
2 3941 7
2 3995 2
2 4071 3
2 4120 8
2 4176 3
2 4271 2
2 4278 6
2 4281 6
2 4570 6
2 4636 4
2 4928 9
2 5209 7
2 5511 7
2 5540 2
2 5561 8
2 5939 8
2 6040 3
2 6127 7
3 21 7
3 79 6
3 251 3
3 336 4
3 368 3
3 396 6
3 397 9
3 405 4
3 445 4
3 455 9
3 474 5
3 476 9
3 479 2
3 521 7
3 523 10
3 524 8
3 525 3
3 526 5
3 527 5
3 528 6
3 529 8
3 530 8
3 531 2
3 532 8
3 533 10
3 534 4
3 535 9
3 536 7
3 537 8
3 538 6
3 562 5
3 579 3
3 675 10
3 719 10
3 730 8
3 761 8
3 773 7
3 777 2
3 910 2
3 973 10
3 977 8
3 1466 7
3 1543 9
3 1686 7
3 1691 7
3 1739 5
3 1747 9
3 1816 2
3 2110 8
3 2383 10
3 2400 6
3 2405 4
3 2418 6
3 2494 5
3 2527 9
3 3544 7
3 4221 5
3 4382 8
3 4785 7
3 5132 9
3 5214 2
3 6192 4
3 7432 9
4 71 8
4 177 4
4 180 6
4 181 3
4 255 8
4 268 5
4 348 2
4 359 6
4 386 8
4 387 2
4 401 4
4 459 3
4 463 3
4 546 8
4 690 10
4 721 5
4 753 3
4 824 4
4 862 2
4 1113 7
4 1139 6
4 1176 8
4 1514 8
4 1619 9
4 1762 2
4 1882 7
4 2546 5
4 2612 3
4 2666 9
4 2683 9
4 2724 7
4 2853 7
4 2920 7
4 3110 7
4 3214 3
4 3242 10
4 3316 2
4 3603 9
4 3706 4
4 3710 3
4 3715 5
4 3716 4
4 3734 9
4 4534 8
4 4586 3
4 4616 5
4 4705 5
4 5679 3
4 6074 8
4 6542 4
4 6755 8
5 203 9
6 11 3
6 13 5
6 18 6
6 21 4
6 33 4
6 36 10
6 48 2
6 57 6
6 64 7
6 71 2
6 75 4
6 79 6
6 86 8
6 112 2
6 118 6
6 122 10
6 133 7
6 137 7
6 138 3
6 139 6
6 176 9
6 186 6
6 261 8
6 262 2
6 268 8
6 271 5
6 299 4
6 301 9
6 303 4
6 323 6
6 348 9
6 350 7
6 359 10
6 364 4
6 385 5
6 386 9
6 394 4
6 397 4
6 398 3
6 411 9
6 415 2
6 418 10
6 424 10
6 444 2
6 451 4
6 454 9
6 455 2
6 470 10
6 481 10
6 484 8
6 490 4
6 491 5
6 494 4
6 498 4
6 511 6
6 540 9
6 543 9
6 545 2
6 555 10
6 591 2
6 619 7
6 659 10
6 664 7
6 675 7
6 676 10
6 701 5
6 702 4
6 707 4
6 709 10
6 710 6
6 720 6
6 721 9
6 724 3
6 750 4
6 767 8
6 771 2
6 773 9
6 778 2
6 793 10
6 810 6
6 814 6
6 825 4
6 837 5
6 844 4
6 862 5
6 907 10
6 914 2
6 940 6
6 944 8
6 949 9
6 963 10
6 973 9
6 975 7
6 980 5
6 1033 7
6 1047 8
6 1066 8
6 1083 9
6 1084 10
6 1110 9
6 1124 8
6 1149 9
6 1166 3
6 1179 7
6 1186 2
6 1188 7
6 1191 9
6 1205 8
6 1206 9
6 1209 2
6 1225 10
6 1250 5
6 1263 10
6 1289 5
6 1303 3
6 1319 6
6 1340 10
6 1367 8
6 1438 8
6 1467 7
6 1471 5
6 1492 4
6 1496 8
6 1513 8
6 1585 5
6 1607 4
6 1616 5
6 1636 6
6 1640 7
6 1649 10
6 1659 2
6 1663 7
6 1709 10
6 1723 2
6 1727 6
6 1728 10
6 1795 10
6 1843 9
6 1854 3
6 1856 7
6 1911 10
6 1912 7
6 1919 5
6 1952 2
6 1980 6
6 1994 9
6 2007 7
6 2032 2
6 2039 9
6 2054 8
6 2062 6
6 2068 9
6 2105 2
6 2116 7
6 2143 4
6 2153 10
6 2181 3
6 2192 6
6 2217 2
6 2226 9
6 2244 4
6 2249 6
6 2280 2
6 2353 8
6 2414 8
6 2453 9
6 2479 6
6 2486 2
6 2517 9
6 2573 7
6 2588 10
6 2597 5
6 2644 5
6 2654 4
6 2668 4
6 2702 4
6 2712 5
6 2713 6
6 2738 9
6 2741 5
6 2744 9
6 2747 5
6 2795 8
6 2847 3
6 2856 4
6 2894 4
6 2974 7
6 2977 5
6 2983 8
6 2987 8
6 2995 2
6 3093 5
6 3100 8
6 3117 7
6 3130 10
6 3155 9
6 3270 9
6 3295 6
6 3299 10
6 3303 9
6 3323 10
6 3386 8
6 3394 9
6 3412 4
6 3413 5
6 3462 10
6 3476 10
6 3594 9
6 3723 4
6 3782 5
6 3842 5
6 3854 8
6 3929 9
6 3938 7
6 3966 5
6 3995 6
6 4042 2
6 4072 9
6 4077 2
6 4084 7
6 4107 4
6 4128 10
6 4135 7
6 4176 7
6 4201 10
6 4271 5
6 4285 5
6 4314 3
6 4357 9
6 4476 3
6 4499 2
6 4522 3
6 4581 10
6 4639 9
6 4752 9
6 4772 2
6 4794 10
6 4800 8
6 4822 6
6 4862 9
6 4883 3
