760 247157
0 19 4
0 20 5
0 21 4
0 22 7
0 23 8
0 24 10
0 25 9
0 26 8
0 27 6
0 28 4
0 29 4
0 30 5
0 31 4
0 32 7
0 33 9
0 34 4
0 35 3
0 36 8
0 37 6
0 38 2
0 39 5
0 40 9
0 41 6
0 42 8
0 43 6
0 44 5
0 45 6
0 46 2
0 47 9
0 48 8
0 49 5
0 50 6
0 51 5
0 52 8
0 53 4
0 54 6
0 55 3
0 56 10
0 57 2
0 58 7
0 59 3
0 60 8
0 61 9
0 62 7
0 63 5
0 64 8
0 65 6
0 66 2
0 67 3
0 68 5
0 69 2
0 70 2
0 71 6
0 72 4
0 73 9
0 74 8
0 75 2
0 76 10
0 77 9
0 78 7
0 79 2
0 80 6
0 81 9
0 82 8
0 83 6
0 84 3
0 85 9
0 86 4
0 87 2
0 88 7
0 89 3
0 90 7
0 91 6
0 92 9
0 93 7
0 94 3
0 95 4
0 96 9
0 97 3
0 98 7
0 99 7
0 100 2
0 101 6
0 102 10
0 103 4
0 104 4
0 105 2
0 106 3
0 107 2
0 108 3
0 109 2
0 110 3
0 111 7
0 112 6
0 113 5
0 114 2
0 115 8
0 116 4
0 117 4
0 118 6
0 119 8
0 120 7
0 121 6
0 122 2
0 123 3
0 124 3
0 125 9
0 126 7
0 127 2
0 128 4
0 129 3
0 130 3
0 131 7
0 132 3
0 133 8
0 134 3
0 135 7
0 136 9
0 137 8
0 138 4
0 139 4
0 140 3
0 141 9
0 142 5
0 143 6
0 144 4
0 145 7
0 146 6
0 147 4
0 148 6
0 149 7
0 150 10
0 151 9
0 152 7
0 154 6
0 157 9
0 158 5
0 159 4
0 160 6
0 161 7
0 162 6
0 163 6
0 164 2
0 166 7
0 167 6
0 168 7
0 169 9
0 171 10
0 172 3
0 173 3
0 174 10
0 175 9
0 176 10
0 177 3
0 178 3
0 179 7
0 180 7
0 181 2
0 182 10
0 183 8
0 184 7
0 185 9
0 186 2
0 187 4
0 188 7
0 189 7
0 190 4
0 191 7
0 192 7
0 193 8
0 194 10
0 195 3
0 196 10
0 197 2
0 198 8
0 199 10
0 200 10
0 201 9
0 202 10
0 203 6
0 204 9
0 205 4
0 206 3
0 207 8
0 208 5
0 209 9
0 210 7
0 211 5
0 212 2
0 213 10
