2113 6632
0 463 5
0 697 6
1 14 2
2 1302 4
3 1387 4
4 626 7
4 2006 8
4 2024 5
5 164 8
5 1070 2
5 1264 3
5 1412 4
5 1567 8
5 1622 3
5 1760 10
5 1809 10
5 1848 2
6 16 9
6 304 4
6 535 9
6 789 7
6 1314 3
6 1544 8
6 2021 4
7 1080 5
8 79 5
8 802 6
8 1290 9
8 1303 4
8 1412 6
8 1462 9
8 1618 9
8 1622 6
8 1760 8
9 1503 4
9 1589 4
10 865 3
10 1334 7
11 1433 6
12 17 9
12 1175 6
12 2031 7
12 2088 2
13 311 9
14 953 3
14 1098 8
14 1135 5
14 1795 2
14 1909 3
15 1061 6
15 1355 4
15 1369 8
15 1539 10
15 1594 10
16 281 8
16 290 5
16 294 6
16 444 3
16 535 10
16 611 3
16 684 10
16 711 5
16 913 3
16 988 5
16 1302 4
16 1615 2
16 1737 6
16 2001 4
16 2009 7
17 37 4
17 51 3
17 86 10
17 161 7
17 178 8
17 197 2
17 215 9
17 217 4
17 299 7
17 312 2
17 342 8
17 395 8
17 413 2
17 419 10
17 432 10
17 456 2
17 470 6
17 553 5
17 582 4
17 604 5
17 613 9
17 618 7
17 653 5
17 655 9
17 687 5
17 704 8
17 804 9
17 857 4
17 863 3
17 894 2
17 899 4
17 922 4
17 1015 4
17 1021 10
17 1026 2
17 1039 5
17 1053 4
17 1089 9
17 1159 3
17 1164 5
17 1167 9
17 1175 7
17 1231 9
17 1233 5
17 1268 6
17 1284 2
17 1385 6
17 1406 5
17 1420 3
17 1430 2
17 1472 3
17 1506 8
17 1570 7
17 1591 4
17 1638 7
17 1645 4
17 1654 2
17 1665 3
17 1676 2
17 1743 10
17 1759 3
17 1807 8
17 1814 9
17 1820 8
17 1874 7
17 1876 7
17 1962 6
17 2017 7
17 2023 3
17 2031 4
17 2076 6
17 2088 5
17 2107 6
18 77 7
18 688 9
18 840 6
18 890 4
18 1509 4
18 1647 8
19 688 5
20 1427 10
21 154 5
21 1402 5
22 31 9
22 231 5
22 1355 7
22 1951 2
22 2082 9
23 70 8
23 141 8
23 245 9
23 246 4
23 282 5
23 330 6
23 375 5
23 385 9
23 428 8
23 533 5
23 534 9
23 556 2
23 695 4
23 746 9
23 946 6
23 988 5
23 1118 8
23 1197 3
23 1355 7
23 1475 9
23 1495 7
23 1535 10
23 1659 4
23 1744 2
23 1747 10
23 1957 10
24 138 10
24 260 9
24 385 5
24 531 8
24 533 7
24 784 3
24 1000 7
25 213 9
25 256 2
26 1248 7
27 702 4
27 966 7
28 428 4
28 1197 10
29 311 10
29 1252 6
30 103 6
30 171 2
30 186 6
30 208 5
30 273 4
30 280 9
30 305 2
30 401 8
30 407 4
30 433 2
30 542 9
30 663 8
30 859 9
30 935 9
30 976 8
30 1011 3
30 1023 4
30 1107 8
30 1109 4
30 1120 2
30 1244 5
30 1317 3
30 1399 4
30 1494 2
30 1517 6
30 1519 10
30 1576 4
30 1611 2
30 1706 3
30 1803 6
30 1806 10
30 1856 2
30 1889 2
30 1907 10
30 2006 6
30 2008 9
30 2069 6
31 52 10
31 152 2
31 198 7
31 204 5
31 231 3
31 233 9
31 279 4
31 393 5
31 475 4
31 515 5
31 556 6
31 592 9
31 618 4
31 733 8
31 763 8
31 816 4
31 819 5
31 856 10
31 873 4
31 887 3
31 895 8
31 942 8
31 1005 8
31 1105 5
31 1165 6
31 1327 3
31 1355 4
31 1443 8
31 1495 3
31 1535 2
31 1557 5
31 1571 4
31 1618 4
31 1660 6
31 1698 4
31 1737 3
31 1746 5
31 1799 4
31 1826 9
31 1839 2
31 1889 6
31 1951 3
31 1967 5
31 2015 8
31 2082 5
32 510 6
33 1553 5
34 1153 10
35 522 4
35 1732 3
36 779 9
37 79 3
37 178 5
37 273 9
37 539 3
37 586 3
37 608 5
37 618 3
37 651 9
37 719 10
37 805 6
37 841 2
37 850 10
37 912 4
37 944 4
37 1250 2
37 1359 7
37 1396 2
37 1430 10
37 1653 2
37 1807 9
37 1916 2
37 1975 4
37 2072 5
37 2092 3
37 2093 2
38 1849 8
39 491 8
39 593 6
39 841 10
39 1040 8
39 1166 6
39 1214 4
40 1157 6
41 1471 10
42 721 6
43 488 5
43 714 3
44 55 10
44 254 9
44 762 2
44 827 6
44 1518 7
45 483 3
46 264 10
46 616 2
46 647 5
46 895 9
46 1218 5
46 1263 8
47 613 4
48 53 2
48 79 8
48 134 9
48 476 7
48 746 4
48 802 2
48 1121 3
48 1484 10
48 1583 10
48 1618 5
48 1888 7
49 86 6
49 108 5
49 142 8
49 191 7
49 223 7
49 270 6
49 276 8
49 301 5
49 323 4
49 335 7
49 342 9
49 360 9
49 394 7
49 395 6
49 413 10
49 419 7
49 423 8
49 496 3
49 522 10
49 539 3
49 593 10
49 623 9
49 633 10
49 640 4
49 651 8
49 655 5
49 688 10
49 707 5
49 713 9
49 825 10
49 830 5
49 864 7
49 899 5
49 934 6
49 958 2
49 997 2
49 1021 10
49 1022 8
49 1026 3
49 1033 5
49 1039 7
49 1040 10
49 1053 6
49 1073 3
49 1089 6
49 1138 6
49 1166 10
49 1169 9
49 1182 6
49 1195 4
49 1229 7
49 1287 4
49 1300 4
49 1323 5
49 1375 5
49 1378 4
49 1472 4
49 1475 9
49 1499 4
49 1539 9
49 1570 7
49 1604 9
49 1635 3
49 1639 8
49 1645 4
49 1676 4
49 1689 7
49 1729 7
49 1756 3
49 1825 8
49 1876 5
49 1940 9
49 2007 10
49 2015 2
49 2025 9
49 2047 8
49 2052 5
49 2080 10
49 2088 2
50 1436 6
51 217 4
51 419 10
51 604 8
51 618 3
51 1026 9
51 1175 5
51 1403 9
51 1665 7
51 1807 8
51 1825 8
51 1979 2
51 2031 9
52 393 7
52 618 5
52 1355 2
52 1443 5
52 1737 5
52 1889 9
52 2082 5
53 293 9
53 476 9
53 636 2
53 825 5
53 1044 5
53 1048 2
53 1061 9
53 1118 5
53 1121 4
53 1189 8
53 1355 2
53 1484 2
53 1559 5
53 1779 6
53 1888 7
54 1642 4
55 137 3
55 305 7
55 377 3
55 422 3
55 471 5
55 494 7
55 609 10
55 739 10
55 750 2
55 984 10
55 1030 9
55 1296 7
55 1377 3
55 1399 9
55 1567 10
55 1686 4
55 1777 10
55 1807 10
56 227 3
56 293 2
56 407 8
56 546 8
56 746 5
56 945 4
56 967 9
56 988 2
56 1448 9
56 1592 4
56 1670 4
56 1779 7
56 1888 9
56 1949 4
56 2006 3
57 79 7
57 357 5
57 449 5
57 488 7
57 503 6
57 512 2
57 528 8
57 586 2
57 802 8
57 841 7
57 940 10
57 943 4
57 949 10
57 955 8
57 981 4
57 987 6
57 1154 2
57 1174 4
57 1205 10
57 1289 5
57 1377 6
57 1448 3
57 1536 8
57 1877 9
57 1901 6
57 2026 5
58 551 5
59 291 7
59 1214 7
60 864 8
61 1587 3
61 1800 3
62 154 2
62 714 9
62 1011 6
62 1976 7
63 187 7
63 611 9
63 907 8
64 827 3
64 1023 8
64 1114 8
64 1137 10
64 1722 5
65 522 3
65 1837 4
66 1200 4
67 1823 7
68 510 8
69 1758 4
70 533 9
70 1092 10
70 1197 5
70 1352 8
70 1857 10
71 366 7
72 748 4
72 1291 6
73 407 5
74 205 2
74 408 4
74 440 10
74 901 8
74 969 3
74 1005 3
74 1035 6
74 1045 10
74 1183 7
74 1617 6
74 1788 4
75 167 9
75 733 7
75 938 4
75 1068 5
75 1121 10
75 1501 2
75 1795 4
75 1909 7
75 1957 5
76 746 5
77 890 5
78 276 7
79 119 10
79 224 5
79 246 6
79 269 4
79 276 10
79 358 6
79 385 3
79 393 2
79 396 9
79 435 7
79 449 8
79 586 6
79 608 5
79 617 10
79 652 9
79 711 2
79 720 4
79 805 5
79 848 7
79 849 3
79 896 10
79 912 5
79 981 10
79 1006 5
79 1099 8
79 1148 5
79 1205 9
79 1289 9
79 1355 5
79 1383 6
79 1418 10
79 1438 8
79 1536 9
79 1622 7
79 1772 10
79 1785 10
79 1819 8
79 1823 5
79 1849 5
79 1865 10
79 1901 4
79 2095 8
79 2096 9
80 107 10
80 334 4
80 1681 3
80 2038 5
81 200 8
81 216 4
81 1707 8
82 558 4
82 1018 5
82 1372 6
83 1005 5
83 1470 2
84 820 6
84 1518 5
84 2089 10
85 278 7
85 1325 2
86 184 3
86 217 10
86 604 7
86 618 3
86 1026 8
86 1175 2
86 1403 5
86 1665 3
86 1807 8
86 1825 7
86 1979 4
86 2031 2
86 2107 7
87 702 4
87 928 4
87 966 7
87 1658 3
88 1403 3
89 228 2
89 294 4
89 317 9
89 370 8
89 428 2
89 463 6
89 482 7
89 556 8
89 697 9
89 991 3
89 1311 6
89 1439 6
89 1449 10
89 1726 4
89 1809 3
89 2096 4
90 450 5
91 373 8
92 367 2
92 569 10
92 649 9
92 774 6
92 981 6
92 1032 8
92 1177 5
92 1536 10
93 1589 4
94 185 4
94 258 8
94 341 8
94 350 8
94 501 3
94 599 4
94 653 2
94 929 2
94 941 7
94 966 3
94 1097 3
94 1194 4
94 1202 5
94 1450 10
94 1538 7
94 1598 2
94 1842 2
95 763 6
95 1535 9
96 1165 7
97 140 10
97 291 3
97 494 6
97 1961 10
98 154 10
98 401 9
99 494 6
99 1468 6
100 848 4
100 2096 7
101 938 9
101 946 4
101 1485 5
101 1512 8
102 223 4
102 2007 10
103 213 2
103 1300 8
103 1543 10
103 1856 6
104 985 2
104 1382 9
105 285 6
105 421 4
106 2077 3
107 213 3
108 276 7
108 342 3
108 707 7
108 825 10
108 1033 7
108 1195 5
108 1300 10
108 1375 8
108 1475 9
108 1499 10
108 1639 6
108 2007 4
108 2015 5
109 1122 7
109 2072 5
110 1672 5
111 461 8
111 472 8
111 929 9
112 1693 7
113 882 10
113 1077 5
113 1870 7
114 246 10
114 1128 8
114 1253 6
115 618 8
116 1120 6
116 2071 9
117 1217 8
117 1672 7
118 739 9
118 1848 3
119 604 2
119 981 4
119 986 2
119 1126 7
119 1391 10
119 1536 6
119 1849 10
119 1870 7
119 1927 8
119 2096 6
120 136 2
120 154 4
120 440 6
120 774 10
120 895 3
120 992 8
120 1045 7
121 1214 10
122 1262 2
122 1607 10
123 294 6
123 370 5
123 428 4
123 463 5
123 482 10
123 556 10
123 697 6
123 706 3
123 991 3
123 1070 7
123 1311 2
123 1656 3
123 1726 9
123 1809 6
123 1966 5
123 2044 4
123 2096 8
124 1813 4
125 252 5
125 304 6
125 648 9
125 759 2
125 1164 4
125 1205 4
125 1543 4
125 1792 2
126 554 10
126 733 5
126 1193 7
126 1456 7
126 1957 5
127 293 7
127 316 7
127 1023 3
127 1290 4
127 1760 5
128 1848 9
129 1040 5
129 1550 2
129 1644 8
130 517 4
130 1225 5
130 1346 7
131 911 3
132 1614 9
132 1891 2
133 782 7
133 1197 2
134 1185 9
134 1196 9
134 1661 10
135 285 4
135 921 6
136 205 8
136 276 9
136 351 5
136 408 4
136 440 6
136 499 8
136 901 2
136 969 7
136 981 10
136 1035 8
136 1045 5
136 1066 2
136 1183 5
136 1536 6
136 1617 6
136 1788 3
136 1849 5
137 1777 10
138 852 8
139 208 7
139 273 10
139 841 6
139 1244 3
141 967 5
141 988 5
141 1754 10
141 1824 5
142 350 5
142 355 2
142 393 5
142 464 7
142 539 9
142 590 9
142 593 4
142 618 7
142 633 9
142 651 6
142 693 9
142 713 8
142 783 6
142 888 10
142 959 10
142 1053 5
142 1166 6
142 1208 3
142 1235 9
142 1236 2
142 1486 2
142 1635 3
142 1729 10
142 1737 3
142 1851 4
142 1889 4
142 1919 8
142 2052 2
143 367 7
144 677 6
145 372 10
145 1094 7
145 1441 10
145 1598 9
146 688 3
147 371 5
148 450 4
148 715 4
148 866 2
148 1072 10
148 1353 4
149 223 2
149 1075 6
149 1777 6
150 546 9
150 1433 3
151 258 2
151 369 4
151 875 4
151 1655 8
152 393 5
152 618 4
152 942 8
152 1355 10
152 1443 3
152 1580 7
152 1737 7
152 1889 10
152 2082 9
153 645 4
153 1333 8
153 1816 10
153 1970 10
153 1991 4
154 168 9
154 172 5
154 219 7
154 245 10
154 267 9
154 283 10
154 305 4
154 319 7
154 342 10
154 351 4
154 363 8
154 392 4
154 401 10
154 414 10
154 463 9
154 499 8
154 597 5
154 613 5
154 640 7
154 721 6
154 728 2
154 823 9
154 870 6
154 889 6
154 912 9
154 977 3
154 984 8
154 992 8
154 1045 3
154 1055 2
154 1066 2
154 1081 9
154 1096 4
154 1109 9
154 1123 6
154 1126 3
154 1178 8
154 1183 2
154 1300 10
154 1346 8
154 1387 2
154 1469 2
154 1490 8
154 1611 3
154 1701 8
154 1702 10
154 1804 5
154 1806 8
154 1821 5
154 1889 3
154 1904 9
154 1907 5
154 1943 6
154 2006 3
154 2071 3
155 168 6
156 765 2
156 1482 8
157 593 3
157 2056 2
158 2080 5
159 986 9
159 1849 8
160 371 9
160 973 3
160 1166 4
160 2052 9
161 863 9
161 1026 7
161 1175 8
161 2031 5
162 1153 6
163 913 4
163 1888 10
164 252 8
164 385 10
164 410 5
164 481 8
164 512 5
164 592 6
164 820 2
164 1000 4
164 1252 5
164 1273 9
164 1290 9
164 1488 10
164 1495 2
164 1535 7
164 1536 9
164 1541 7
164 1567 7
164 1578 7
164 1622 3
164 1695 9
164 1760 7
164 1848 10
164 1912 5
164 2082 10
165 366 10
166 396 8
166 1565 8
166 1717 5
167 306 5
167 733 5
167 938 4
167 985 6
167 1121 10
167 1304 3
167 1484 10
167 1795 6
167 1888 9
167 1909 9
167 1949 7
167 1957 9
168 370 6
168 598 7
168 739 7
168 879 10
168 895 10
168 905 5
168 937 3
168 1024 5
168 1075 9
168 1096 9
168 1300 4
168 1487 2
168 1578 6
168 1803 7
168 1848 9
168 2060 6
169 995 3
169 1835 9
169 1985 10
170 508 2
170 604 9
170 1248 9
170 1479 5
171 254 4
171 607 8
171 1629 9
171 1803 2
172 976 5
173 646 8
174 883 6
174 1070 3
174 1179 8
174 1522 4
174 1622 2
175 618 10
175 1040 5
175 1550 8
175 1644 6
176 895 5
176 1315 2
177 622 9
177 836 6
178 222 10
178 245 8
178 247 6
178 342 4
178 385 2
178 447 2
178 542 4
178 604 2
178 608 2
178 613 2
178 618 5
178 646 3
178 657 10
178 697 3
178 860 5
178 872 2
178 1298 8
178 1359 2
178 1430 8
178 1488 9
178 1494 6
178 1523 2
178 1543 4
178 1578 6
178 1653 7
178 1807 3
178 1891 7
178 1938 9
178 1989 5
179 401 5
180 1012 3
181 285 7
182 633 9
182 1609 2
183 1491 5
184 208 7
184 419 2
184 653 7
184 655 10
184 804 2
184 863 5
184 1021 2
184 1039 3
184 1089 9
184 1159 2
184 1268 2
184 1385 10
184 1472 8
184 1570 4
184 1645 9
184 2017 7
184 2088 10
186 982 6
186 1515 7
186 1856 10
186 1889 4
187 240 5
187 247 7
187 907 9
187 1391 5
187 1595 8
187 1934 10
188 510 6
189 800 7
189 981 4
189 1174 6
189 1210 9
189 1273 7
189 1536 10
189 1957 9
190 1128 3
191 276 9
191 342 6
191 707 8
191 825 10
191 1033 8
191 1300 4
191 1323 8
191 1475 5
191 1499 4
191 1639 7
191 2015 8
192 241 4
192 633 9
192 1378 5
192 1915 7
193 688 5
194 510 7
195 318 2
195 1171 6
195 1630 9
195 1823 8
195 1846 4
195 1902 7
196 305 10
196 1023 6
196 1290 2
196 1532 5
196 1620 3
196 1622 5
196 1659 4
196 1809 6
196 1848 10
196 1865 4
196 1918 7
197 217 3
197 479 9
197 604 8
197 863 2
197 1089 5
197 1164 7
197 1175 6
197 1403 8
197 1665 5
198 393 5
198 618 5
198 1355 8
198 1737 3
198 1889 8
198 2082 10
199 1954 8
200 391 4
200 1707 3
201 1501 3
202 233 2
202 329 9
202 556 6
202 609 2
202 895 10
202 1005 10
202 1019 4
202 1495 6
202 1967 10
203 290 8
203 1302 2
203 1381 10
203 1443 6
203 2049 7
205 440 5
205 774 7
205 969 2
205 992 6
205 1788 7
205 1816 6
206 1151 7
206 1413 10
206 1642 5
207 311 5
207 1252 6
207 1912 6
207 2021 5
207 2104 9
208 305 2
208 384 7
208 463 3
208 714 2
208 912 5
208 1047 10
208 1120 8
208 1142 8
208 1399 9
208 1493 5
208 1856 6
208 1889 6
208 1910 4
208 1943 4
208 2071 9
208 2075 3
209 2062 4
210 512 10
210 1877 2
211 1553 7
212 564 10
212 618 3
212 1308 9
212 1517 6
213 218 7
213 252 3
213 304 8
213 446 5
213 759 8
213 886 7
213 951 5
213 1105 9
213 1164 5
213 1205 10
213 1429 10
213 1477 6
213 1534 2
213 1543 6
213 1681 9
213 1706 5
213 1792 6
213 1811 8
213 1897 2
213 2038 8
214 331 9
215 217 4
215 238 3
215 604 7
215 618 9
215 863 9
215 1026 2
215 1175 4
215 1195 5
215 1268 8
215 1403 9
215 1665 2
215 1807 3
215 1825 7
215 1979 4
215 2017 4
215 2023 9
215 2031 10
216 445 6
216 674 10
216 913 3
216 1414 9
216 1736 10
216 1748 5
217 293 10
217 316 4
217 342 5
217 419 7
217 542 10
217 582 8
217 653 3
217 655 3
217 863 2
217 899 6
217 1021 3
217 1026 4
217 1039 10
217 1089 3
217 1159 10
217 1167 8
217 1231 9
217 1284 2
217 1385 5
217 1420 2
217 1472 5
217 1506 4
217 1570 2
217 1645 5
217 1676 8
217 1743 9
217 1807 3
217 1876 4
217 1888 6
217 1989 5
217 2017 7
217 2084 2
217 2088 9
217 2107 6
218 252 4
218 304 5
218 759 10
218 1164 7
218 1205 6
218 1792 10
218 1811 3
220 1849 8
221 1229 4
222 245 2
222 250 9
222 385 3
222 618 8
222 657 6
222 697 6
222 1086 7
222 1488 3
222 1536 4
222 1578 7
222 1665 8
222 1807 2
222 1914 2
222 1938 10
222 1997 9
222 2071 10
222 2092 3
223 276 5
223 342 7
223 600 6
223 707 5
223 825 4
223 864 7
223 1033 6
223 1195 4
223 1281 7
223 1296 9
223 1300 3
223 1375 10
223 1475 7
223 1482 7
223 1499 10
223 1639 2
223 1777 3
223 2007 4
223 2015 9
224 721 5
224 995 10
224 1424 9
224 1905 8
224 1931 10
225 310 2
225 510 5
225 675 10
225 775 8
225 1350 5
225 2068 8
226 463 2
226 1055 5
226 1219 5
226 1697 10
226 1701 3
227 1670 2
228 290 6
228 471 10
228 482 10
228 585 3
228 718 9
228 768 5
228 852 10
228 1381 8
228 1449 3
228 1542 3
228 1780 8
228 1930 5
228 1945 5
229 475 4
230 2041 4
231 393 3
231 475 7
231 618 9
231 1355 5
231 1443 2
231 1737 7
231 1889 10
231 2082 2
232 1260 3
233 359 4
233 361 2
233 756 7
233 1137 6
233 1495 2
233 1967 3
234 1567 10
235 429 2
235 1816 5
236 359 10
236 546 5
236 636 9
236 1600 10
236 1637 7
237 1659 6
238 1089 5
239 1800 7
240 385 2
240 1934 9
241 252 3
241 361 10
241 520 8
241 524 8
241 542 10
241 613 5
241 618 2
241 646 9
241 697 4
241 822 8
241 839 3
241 910 5
241 1129 8
241 1289 7
241 1360 7
241 1378 2
241 1427 2
241 1430 4
241 1508 4
241 1517 5
241 1586 3
241 1600 4
241 1665 6
241 1706 2
241 1716 9
241 1803 2
241 1856 8
241 1861 8
241 1935 6
241 1954 5
241 2044 4
241 2046 9
242 341 10
243 522 7
243 1040 3
243 1210 9
243 1909 5
244 911 8
244 1013 4
244 1760 3
244 2082 5
245 261 7
245 305 2
245 392 6
245 442 8
245 463 9
245 493 10
245 832 2
245 892 10
245 912 6
245 988 6
245 1020 2
245 1300 6
245 1488 2
245 1493 4
245 1517 10
245 1532 10
245 1578 6
245 1744 10
245 1821 10
245 1836 7
245 1881 7
245 1938 5
245 1979 7
245 2024 10
246 295 6
246 309 8
246 313 4
246 417 4
246 474 2
246 546 10
246 631 4
246 636 6
246 896 5
246 985 5
246 1100 8
246 1121 8
246 1124 10
246 1128 5
246 1253 3
246 1355 10
246 1362 9
246 1581 7
246 1600 3
246 1959 6
246 1967 6
247 860 2
247 907 10
247 1595 7
248 377 8
248 1211 9
249 1617 4
250 453 3
250 792 8
250 879 9
250 1005 2
250 1589 8
250 1744 5
250 1760 4
250 1824 2
250 2071 9
251 558 7
251 1197 7
251 1318 10
252 304 10
252 361 6
252 446 8
252 512 7
252 602 6
252 759 10
252 951 10
252 1023 2
252 1164 6
252 1205 4
252 1252 3
252 1273 3
252 1290 8
252 1313 6
252 1376 8
252 1543 10
252 1577 4
252 1685 5
252 1753 8
252 1792 8
252 1796 5
252 1809 8
252 1811 8
252 1848 4
252 1856 4
252 1897 7
252 1912 6
252 2027 7
252 2046 10
253 319 4
253 714 8
253 1051 4
253 1162 3
253 1387 4
253 1404 7
253 1493 3
253 1889 8
253 2071 9
254 526 6
254 1803 4
255 258 10
255 1946 10
256 463 2
256 749 8
257 618 5
257 1040 7
257 1550 4
257 1644 3
258 301 7
258 308 3
258 325 4
258 342 5
258 350 7
258 457 4
258 494 4
258 550 7
258 606 8
258 609 3
258 660 6
258 739 9
258 813 10
258 821 7
258 966 7
258 984 4
258 1043 8
258 1079 3
258 1140 9
258 1221 9
258 1251 8
258 1364 2
258 1377 7
258 1567 9
258 1598 5
258 1694 4
258 1719 9
258 1769 4
258 1807 8
258 1880 6
258 1955 4
258 2030 2
258 2035 5
259 618 8
259 1040 4
259 1550 6
259 1644 8
260 2096 7
261 984 7
261 1377 10
261 1807 6
262 479 5
262 1784 6
263 1485 6
264 616 4
264 1218 9
264 1263 7
265 709 8
265 1783 3
266 1875 2
267 640 3
267 1017 8
268 1581 8
269 276 10
269 385 7
269 393 6
269 396 10
269 406 9
269 981 7
269 1377 7
269 1536 7
269 1849 3
269 2096 2
270 522 10
270 2002 3
271 1269 6
271 1578 5
272 1482 10
272 2005 3
273 280 2
273 841 10
273 1244 7
273 1270 4
273 1543 5
273 1653 2
273 1706 10
273 1889 7
273 2095 4
274 457 8
275 1200 4
276 323 8
276 335 6
276 342 8
276 360 7
276 385 6
276 423 10
276 496 3
276 623 8
276 707 3
276 825 6
276 830 10
276 864 5
276 943 9
276 958 2
276 981 6
276 986 2
276 997 9
276 1022 7
276 1033 3
276 1073 10
276 1148 6
276 1169 9
276 1195 3
276 1229 2
276 1287 5
276 1300 9
276 1323 8
276 1375 9
276 1377 6
276 1475 2
276 1499 2
276 1539 10
276 1604 10
276 1639 4
276 1689 10
276 1756 7
276 1798 3
276 1823 3
276 1825 7
276 1849 7
276 1865 5
276 2007 5
276 2015 2
276 2025 10
276 2047 2
276 2080 8
276 2096 8
277 407 4
277 1027 2
277 1196 9
277 1448 7
278 287 3
278 418 2
278 562 6
278 671 2
278 869 5
278 972 5
278 1091 6
278 1191 6
278 1325 5
278 1572 2
278 1593 5
279 393 2
279 618 8
279 1165 10
279 1355 4
279 1737 6
279 1889 3
279 2082 8
280 1244 4
280 1517 5
280 1889 9
281 1544 6
282 357 9
282 1355 7
282 1600 4
282 2090 7
283 1469 5
284 1753 2
284 1809 4
284 2006 7
285 350 8
285 368 3
285 421 8
285 507 6
285 790 2
285 803 2
285 863 8
285 1471 5
285 1598 8
285 2048 10
285 2053 7
286 301 3
287 1325 3
288 1129 2
289 613 9
290 294 9
290 324 6
290 585 3
290 611 8
290 667 9
290 845 10
290 1030 10
290 1302 7
290 1340 5
290 1381 6
290 1516 3
290 1708 10
290 1737 8
290 1866 7
290 1945 7
290 2094 10
291 1214 7
292 1378 3
293 316 8
293 407 6
293 746 5
293 750 10
293 825 4
293 836 4
293 838 5
293 945 9
293 988 10
293 1009 7
293 1050 5
293 1061 6
293 1185 9
293 1204 5
293 1304 2
293 1355 8
293 1433 4
293 1484 5
293 1565 9
293 1585 5
293 1592 6
293 1636 10
293 1659 2
293 1661 10
293 1670 4
293 1750 8
293 1888 4
294 370 10
294 371 10
294 385 8
294 428 4
294 463 8
294 482 2
294 535 9
294 556 9
294 561 5
294 611 8
294 667 10
294 697 8
